Ruta,OperadOR,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,Año_colision,mes_colision,nuevo_id
"Near Montieri, Italy",Military - U.S. Army Air Forces,Douglas C-47-DL,26,22,4,23,21,2,0,1945,2,4025
"Nunters Burgh, England",Military -Royal Air Force,Douglas C-47 Dakota,23,19,4,23,19,4,0,1945,2,4024
"Off Oakland, California",Military - U.S. Navy,Douglas R4D-6,24,21,3,24,21,3,0,1945,2,4023
"Lagoa Santa, Brazil",Navegacao Aerea Brasileira,Lockheed 18 Loadstar,11,7,4,11,7,4,0,1945,2,4022
"Marion, Virginia",American Airlines,Douglas DC-3,22,19,3,17,15,2,0,1945,2,4021
"Casablanca, Morocco",Military - United States Army Air Force,Curtiss C-46A,30,26,4,13,13,0,0,1945,2,4020
"Coral Sea, off Australia",Military - U.S. Air Force,Douglas C-47A-90-DL,24,20,4,24,20,4,0,1945,3,4019
"Kunming, China",China National Aviation Corporation,Douglas C-47,3,0,3,3,0,3,0,1945,4,4018
"Morgantown, West Virginia",Pennsylvania Central Airlines,Douglas DC-3,20,17,3,20,17,3,0,1945,4,4017
"Near Perth, Australia",Military - U.S. Navy,Douglas DC-3,13,11,2,13,11,2,0,1945,4,4016
"Near Steinreich, Germany",Lufthansa,Junkers JU-53/3m,20,17,3,18,15,3,0,1945,4,4015
"Sweetwater, Texas",Military - U.S. Army Air Forces,Douglas C-47-DL,25,22,3,25,22,3,0,1945,4,4014
"Near Piesenkofen, Germany",Deutsche Lufthansa,Focke-Wulf FW 200,21,16,5,21,16,5,0,1945,4,4013
"North Barrule, Isle of Man, England",Military - U.S. Air Force,B17G Flying Fortress,31,26,5,31,26,5,0,1945,4,4012
Washington D.C.,Page Airways,Lockheed 18 Lodestar,13,11,2,6,6,0,0,1945,4,4011
"Manus Island, New Guinea",Military - U.S. Army Air Forces,Douglas C-54E-DO (DC-4),21,15,6,21,15,6,0,1945,5,4010
"Hindhead, England",Military - U.S. Army Air Forces,Curtiss-Wright C-46D-CU,30,25,5,30,25,5,1,1945,5,4009
"Roye, France",Military -Royal Air Force,Avro Lancaster,31,25,6,31,25,6,0,1945,5,4008
"Iran Jayas, New Guinea",Military - U.S. Army Air Forces,Douglas C-47B-DK,23,19,4,20,16,4,0,1945,5,4007
"Off Drewin, Ivory Coast",Military - U.S. Army Air Forces,Douglas C-47B-dK,21,18,3,21,18,3,0,1945,5,4006
China,China National Aviation Corporation,Douglas C-47,3,0,3,3,0,3,0,1945,6,4005
"Gealdton, Australia",Mac Robertson Miller Airlines,de Havilland DH-86A,11,9,2,2,1,1,0,1945,6,4004
"Near Kisumu, Kenya",Military - South African Air Force,Douglas C-47,28,24,4,28,24,4,0,1945,7,4003
"Near Florence, South Carolina",Eastern Air Lines / Military - U.S. Army Air Corps,Douglas DC-3-201C /  Army A-26,10,4,6,3,1,2,0,1945,7,4002
"New York, New York",Military - U.S. Army Air Forces,North American B-25D bomber,3,1,2,3,1,2,11,1945,7,4001
"Near San Luis Potosi, Mexico",Lineas Aereas Mineras,Boeing 247D,12,9,3,12,9,3,0,1945,8,4000
"Fort de France, Martinique",Pan American World Airways,Sikorsky S-43 (flying boat),14,10,4,4,4,0,0,1945,8,3999
"Ixtaccihuati, Mexico",Mexicana,Douglas DC-2-243,16,12,4,16,12,4,0,1945,8,3998
"Florence, South Carolina",Eastern Air Lines,Douglas DC-3,22,19,3,22,19,3,0,1945,9,3997
"Near Milne Bay, New Guinea",Military - Royal Australian Air Force,Douglas C-47A,11,7,4,11,7,4,0,1945,9,3996
"Near Kansas, Missouri",Military - U.S. Army Air Forces,Douglas C-47B-DK,24,21,3,23,20,3,0,1945,9,3995
"Puncak Jaya, Papua New Guinea",Military - Royal Australian Air Force,Douglas C-47B-5-DK,29,26,3,29,26,3,0,1945,9,3994
"Near Chihkiang, China",Military - United States Army Air Force,Curtiss C-46D,20,17,3,20,17,3,0,1945,9,3993
"Lakeland, Florida",National Airlines,Lockheed 18 Lodestar,15,12,3,2,2,0,0,1945,10,3992
"Elvetham, England",Military -Royal Air Force,Consolidated LB-40-A Liberator,23,18,5,23,18,5,0,1945,10,3991
"Rennes, France",Military - Royal Air Force,Short Stirling IV,26,20,6,26,20,6,0,1945,10,3990
"Melsbroek, Belgium",Military -Royal Air Force,Consolidated LB-30-A Liberator,31,25,6,31,25,6,0,1945,10,3989
"Near Peking, China",Military - U.S. Army Air Forces,Curtiss-Wright C-46F-CU,59,55,4,59,55,4,0,1945,10,3988
"Between Shanghi and Canton, China",China National Aviation Corporation,Douglas C-47,31,28,3,31,28,3,0,1945,10,3987
"Timor Sea, Atlantic Ocean",Military - Royal Australian Air Force,Douglas C-47B,25,21,4,25,21,4,0,1945,10,3986
"Near Chiringa, India",Military - Royal Air Force,Douglas C-47B,14,12,2,14,12,2,0,1945,10,3985
"Tarapoto, Peru",Faucett,Faucett F-19,5,4,1,5,4,1,0,1945,10,3984
"Valetta, Malta",BOAC,Douglas C-47 Skytrain (DC-3),16,13,3,9,9,0,0,1945,10,3983
"Chihchiang, China",Military - U.S. Army Air Forces,Curtiss-Wright C-46A-CK,50,46,4,45,44,1,0,1945,10,3982
"Herrenalb, Germany",Military - U.S. Army Air Forces,Douglas C-47A-DK,30,26,4,26,22,4,0,1945,11,3981
"Near Chuka, India",Military - U.S. Army Air Forces,Douglas C-54G,44,40,4,44,40,4,0,1945,11,3980
"Near Grants, New Mexico",National Skyway Freight Co.,Budd RB-1 Conestoga,3,0,3,1,0,1,0,1945,11,3979
"Near Boccadi, Italy",Military - U.S. Army Air Forces,Douglas C-47A-DL,24,20,4,24,20,4,0,1945,11,3978
"Near Picinisco, Italy",Military - U.S. Army Air Forces,Boeing B-17G,20,16,4,20,16,4,0,1945,11,3977
"Near Castel, Libya",Military -Royal Air Force,Short Stirling,29,22,7,29,22,7,0,1945,11,3976
Near Jacquinot Bay  New Guinea,Military - Royal Australian Air Force,Douglas C-47 Dakota-DK,28,25,3,28,25,3,0,1945,11,3975
"White's Farm, England",Military -Royal Air Force,Consolidated LB-30A Liberator,27,22,5,27,22,5,0,1945,11,3974
"Near Rochefort , France",Military -Royal Air Force,Consolidated LB-30A Liberator,28,23,5,28,23,5,0,1945,12,3973
Off the Florida coast,Military - U.S. Navy,Five Grumman TBM Avengers,14,0,14,14,0,14,0,1945,12,3972
"Off Smyrna, Bahamas",Military - U.S. Navy,Martin PBM Mariner,13,0,13,13,0,13,0,1945,12,3971
"Near Billings, Montana",Military - U.S. Army,Douglas C-47,21,19,2,17,15,2,0,1945,12,3970
"Voksenkollen, Norway",Military - Royal Air Force,Douglas C-47B,17,13,4,17,13,4,0,1945,12,3969
"Bangui, French Equatorial Africa",Air France,Lockheed 18 Lodestar,8,5,3,8,5,3,0,1945,12,3968
"Near Dudinka, Russia",Polyarnya Aviatsiya,Douglas DC-3,10,6,4,10,6,4,0,1945,12,3967
"New York City, New York",Eastern Air Lines,Douglas DC-3,12,9,3,1,1,0,0,1945,12,3966
"Birmingham, Alabama",Pennsylvania Central Airlines,Douglas DC-3,11,7,4,3,0,3,0,1946,1,3965
"Near Netrubezh, Russia",Aeroflot,Lisunov Li-2,22,17,5,22,17,5,0,1946,1,3964
"Marseilles, France",Military -Royal Air Force,Douglas C-47 Dakota,25,21,4,23,19,4,0,1946,1,3963
"Cheshire, Connecticut",Eastern Air Lines,Douglas DC-3-201E,17,14,3,17,14,3,0,1946,1,3962
"Crowsnest Pass, Alberta, Canada",Mililtary - Royal Canadian Air Force,Douglas DC-3 Dakota,7,0,7,7,0,7,0,1946,1,3961
"Mt. Elk, Wyoming",United Air Lines,Douglas DC-3-194H,21,18,3,21,18,3,0,1946,1,3960
"Negros, Philippines",Military - U.S. Army Air Forces,Douglas C-47,20,16,4,20,16,4,0,1946,2,3959
"Live Oak Springs, California",American Airlines,Douglas DC-3-227B,27,24,3,27,24,3,0,1946,3,3958
"Near Prague, Czechoslovakia",Ceskoslovenske Aerolinie,Junkers JU-52/3m,15,11,4,12,10,2,0,1946,3,3957
"Off Hobart, Tasmania",Australian National Airways,Douglas DC-3 (C-47DL),25,21,4,25,21,4,0,1946,3,3956
"Hobart Mills, California",Military - U.S. Army Air Forces,Douglas C-47B,26,23,3,26,23,3,0,1946,3,3955
"Off Ceylon, Cocos Islands, Indian Ocean",British Overseas Airways /Qantas,Avro 691 Lancastrian 1,10,5,5,10,5,5,0,1946,3,3954
"near Craigavad, Northern Ireland",Railway Air Services Ltd.,de Hvilland 89A Dragon Rapide,6,4,2,6,4,2,0,1946,4,3953
"Rabat, Malta",Military - Royal British Navy,Vickers Wellington bomber,4,0,4,4,0,4,16,1946,4,3952
"La Liberiad, Nicaragua",TACA,Lockheed 14 Super Electra,21,18,3,20,17,3,0,1946,4,3951
"Richmond, Virginia",Viking Air Transport,Douglas DC-3,27,25,2,27,25,2,0,1946,5,3950
"Oslo, Norway",DNL Norwegian Air Lines,Junkers JU-52/3m,14,11,3,13,10,3,0,1946,5,3949
"Off Amalfi, Italy",Military - U.S. Army Air Forces,Douglas C-54-DO (DC-4),38,30,8,30,26,4,0,1946,6,3948
"Taboga Island, Panama",Military - U.S. Army Air Forces,Douglas C-54D-DC (DC-4),23,17,6,23,17,6,0,1946,6,3947
"Near Abeokuta, Nigeria",Military -Royal Air Force,Douglas C-47 Dakota,18,12,6,18,12,6,0,1946,6,3946
"Pau, France",Air France,Junkers Ju-52/3m,3,0,3,2,0,2,0,1946,6,3945
"Holyoke, Massachusetts",Military - U.S. Army Air Forces,Boeing B17G,25,21,4,25,21,4,0,1946,7,3944
"Reading, Pennsylvania",Trans Continental and Western Air,Lockheed L-049 Constellation,6,0,6,5,0,5,0,1946,7,3943
"Tsinan, China",Central Air Transport,Curtiss C-46,49,47,2,13,11,2,0,1946,7,3942
"Cuenca, Ecuador",ANDESA,Curtiss C-46D-10-CU,30,27,3,30,27,3,0,1946,7,3941
"Goodland, Kansas",Military - U.S. Army Air Corps,Douglas C-47,13,10,3,13,10,3,0,1946,7,3940
"Bassein, Burma",Military -Royal Air Force,Douglas C-47 Dakota,22,18,4,22,18,4,0,1946,7,3939
"Oslo, Norway",British European Airways,Douglas C-47A-10-DK,16,11,5,3,0,3,0,1946,8,3938
"Lakehurst, New Jersey",Atlantic Central Airlines,Lockheed 18-56 Lodestar,6,4,2,4,2,2,0,1946,8,3937
"Malta-Luqa, Malta",BOAC,Douglas C-47A,5,0,5,1,0,1,0,1946,8,3936
"Rouen, France",British Overseas Airways,Avro 691 Lancastrian 1,9,0,9,8,0,8,0,1946,8,3935
"Moline, Illinois",Trans Luxury Airlines,Douglas C-47-DL,25,22,3,2,0,2,0,1946,8,3934
"Near Prince Rupert, British Columbia, Canada",Queen Charlotte Airlines,Supermarine Stranraer (flying boat),7,3,4,7,3,4,0,1946,8,3933
"Holtug, Denmark",Air France,Douglas DC-3 (C-53D-DO),22,17,5,22,17,5,0,1946,9,3932
"Le Bourget, France",Air France,Douglas DC-3,26,21,5,20,18,2,1,1946,9,3931
"Elko, Nevada",Trans-Luxury Airlines,Douglas DC-3 (C-47-A5-DL),22,19,3,21,18,3,0,1946,9,3930
"Bathurst, Gambia",British South American Airways,Avro 685 York I,24,20,4,24,20,4,0,1946,9,3929
"Nome, Alaska",Mt. McKinley Airfreight,Douglas C-47A,4,2,2,4,2,2,0,1946,9,3928
"Brussels, Belgium",Sabena,Douglas C-47-DL,7,4,3,1,0,1,0,1946,9,3927
"Near Gander, Newfoundland",Sabena,Douglas DC-4-1009,44,37,7,27,21,6,0,1946,9,3926
"Near Tripoli, Libya",Military -Royal Air Force,Avro Lancaster,25,19,6,25,19,6,0,1946,9,3925
"Lochi Mountain, China",China National Aviation Corporation,Curtiss Wright C-46,28,25,3,28,25,3,0,1946,9,3924
Near Hong Kong International Airport,Military - Royal Air Force,Douglas C-47B-25-DK,19,14,5,19,14,5,0,1946,9,3923
"Near Milngavie, Stirlingshire, Scotland",Railway Air Service Ltd.,de Havilland 89A Dragon Rapide,7,5,2,7,5,2,0,1946,9,3922
"Rio Doce, Brazil",Panair do Brasil,Douglas DC-3A-228D,25,22,3,25,22,3,0,1946,9,3921
"Stephenville, Newfoundland",American Overseas Airlines,Douglas C-54E-5-DO,39,31,8,39,31,8,0,1946,10,3920
"Off Penang, Malaya",Military -Royal Air Force,Avro 685 York 1,21,15,6,21,15,6,0,1946,10,3919
"Apeldoorn, The Netherlands",Military - Royal Netherlands Naval Air Service,Fairey Firefly MK1,1,0,1,1,0,1,22,1946,10,3918
"Cheyenne, Wyoming",United Air Lines,Douglas DC-4,41,37,4,2,2,0,0,1946,10,3917
"Near Sefrou, Morocco",Air Ocean,Junkers Ju-52/3m,16,11,5,16,11,5,0,1946,10,3916
"Laramie, Wyoming",National Air Transport Services,Douglas DC-3,13,10,3,13,10,3,0,1946,10,3915
"Gebel Kalamoun, Egypt",Socotra,Junkers JU-52/3m,24,22,2,1,1,0,0,1946,10,3914
"St Leger-la-Montagne, France",CTA Languedoc Roussillon,AAC-1 Toucan,27,24,3,23,20,3,0,1946,11,3913
"Cleveland, Ohio",United Air Lines,Douglas DC-3 (C-53D-DO),20,17,3,2,0,2,0,1946,11,3912
"Lebec, California",Western Airlines,Douglas C-53D-DO (DC-3),11,8,3,11,8,3,0,1946,11,3911
"Near Cofre de Perote, Mexico",Empressa Commun. Aéreas de Veracruz,Douglas DC-3,15,12,3,15,12,3,0,1946,11,3910
"Amsterdam, Netherlands",KLM Royal Dutch Airlines,Douglas C-47A-90 DL (DC-3),26,21,5,26,21,5,0,1946,11,3909
North Pacific Ocean,Military - U.S. Army Air Forces,Douglas C-47,23,15,8,23,15,8,0,1946,11,3908
"San Jose, Costa Rica",Lineas Aéreas Costarricenses  LACSA,Douglas DC-3 (C-47A-90-DL),22,20,2,22,20,2,0,1946,11,3907
"El Palomar, Argentina",Fuerza Aérea Argentina,Vickers 620 Viking 1,18,15,3,5,2,3,0,1946,11,3906
"Near Osaka, Japan",Military - U.S. Army Air Forces,Curtiss-Wright C-46F-CU,24,19,5,24,19,5,0,1946,12,3905
"Toledo, Washington",Military - U.S. Marine Corps,Curtiss-Wright R5C-1,32,29,3,32,29,3,0,1946,12,3904
"Mt. Banahaur, Philippines",Far Eastern Air Transport,Douglas DC-3 (C-47-B-1-DK),14,10,4,12,9,3,0,1946,12,3903
"Caribbean, Atlantic Ocean",Winged Cargo Inc.,Douglas C-47A,7,5,2,7,5,2,0,1946,12,3902
"Near Rio de Janeiro, Brazil",FAMA (Argentina),Avro  685 York I,21,15,6,21,15,6,0,1946,12,3901
"Near San Diego, California",Western Airlines,Douglas DC-3 ( C-53D-DO),12,9,3,12,9,3,0,1946,12,3900
"Near Wusong, Jiangsu, China",CNAC,Curtiss C-47,34,31,3,13,10,3,3,1946,12,3899
"Near Shanghai, China",CNAC,Douglas DC-3,30,27,3,20,17,3,0,1946,12,3898
"Shanghai, China",CATA,Douglas C-47,11,7,4,11,7,4,5,1946,12,3897
"Walshville, Illinois",Kansas City Southern Skyways,Douglas C-47A,2,0,2,2,0,2,0,1946,12,3896
"Near Shannon, Ireland",Trans Continental and Western Air,Lockheed 049 Consellation,23,14,9,13,9,4,0,1946,12,3895
"Michigan City, Indiana",American Airlines,Douglas DC-3 (C-50A-DO),21,18,3,2,0,2,0,1946,12,3894
"Sao Paulo, Brazil",Panair do Brasil,Sikorsky S-43B (flying boat),14,11,3,11,8,3,0,1947,1,3893
"Tsingtao, China",China National Aviation Corporation,Curtis C-46,43,38,5,43,38,5,0,1947,1,3892
"Carmel, New Jersey",Nationwide Air Transport,Douglas DC-3,23,20,3,3,2,1,0,1947,1,3891
"Near Lympne, England",British Overseas Airways,Douglas C-47A-1-DK,16,11,5,8,4,4,0,1947,1,3890
"Off Laoag, China",Far Eastern Air Transport,Douglas DC-4 (C-54A-DO),42,37,5,7,7,0,0,1947,1,3889
"Near Galax, Virginia",Eastern Air Lines,Douglas DC-3,19,16,3,18,15,3,0,1947,1,3888
"Near Puebla, Mexico",Military - Mexican Air Force,Lockheed C-60 Lodestar,21,17,4,21,17,4,0,1947,1,3887
"Puesto Araujo, Colombia",AVIANCA,Douglas DC-3 ( C-47-DO),17,13,4,17,13,4,0,1947,1,3886
"Croydon, Surrey, England",Spencer Airways / Ceskoslovenske Aerolinie,Douglas C-47 / Douglas DC-3,23,18,5,12,11,1,0,1947,1,3885
"Chongqing, China",China National Aviation Corporation,Douglas DC-3,19,16,3,19,16,3,0,1947,1,3884
Hong Kong,Philippine Air Lines,Douglas C-47A,4,0,4,4,0,4,0,1947,1,3883
"Copenhagen, Denmark",KLM Royal Dutch Airlines,Douglas C- C47A-30DK,22,18,4,22,18,4,0,1947,1,3882
"Near Hankow, China",China National Aviation Corporation,Curtiss C-46,26,24,2,25,23,2,0,1947,1,3881
"Near Lisbon, Portugal",Air France,Douglas DC-3C,20,15,5,19,14,5,0,1947,2,3880
"Harrington, Delaware",International Air Freight,Douglas DC-3,3,0,3,1,0,1,0,1947,2,3879
"Pedro Bernardo, Spain",Aerovias Cuba International,Douglas C-54B-15-DO,11,8,3,11,8,2,0,1947,2,3878
"Denver, Colorado",Slick Airways,Curtiss C-46E,2,0,2,2,0,2,0,1947,2,3877
"Near Bogota, Colombia",AVIANCA,Douglas DC-4,53,49,4,53,49,4,0,1947,2,3876
"Off Terracina, Italy",Military - Corrieri Aerei Militari,Savoia-Marchetti SM-95,16,10,6,16,10,6,0,1947,2,3875
"China Sea, Pacific Ocean",Military - Royal Air Force,Douglas C-47B,12,9,3,12,9,3,0,1947,2,3874
"Near Georgia, USSR",Aeroflot,Doublas C-47,23,19,4,23,19,4,0,1947,3,3873
"L'isola di Ischia, Italy",Military - Royal Air Force,Douglas C-47B,13,10,3,13,10,3,0,1947,3,3872
"Cordillera, Colombia",VIARCO,Douglas C-47-DL,9,5,4,9,5,4,0,1947,3,3871
"Mt. Moucherolles, France",Air France,Douglas DC-3 (C-47A-90-DL),23,18,5,23,18,5,0,1947,3,3870
"Near Medellin, Colombia",TACA,Lockheed 18 Lodestar,8,5,3,8,5,3,0,1947,3,3869
"Negombo, Sri Lanka",Military - Royal Air Force,Avro York C1,15,9,6,11,7,4,0,1947,3,3868
"Near Caracas, Venezuela",Linea Aeropostal Venezolana,Douglas C-47A,27,24,3,27,24,3,0,1947,4,3867
"Off Dakar, Senegal",British South American Airways,Avro 685 York I,15,9,6,6,6,0,0,1947,4,3866
"Columbus, Georgia",Delta Air Lines,Douglas DC-3 (C-47DL) /Vultee BT-13,10,8,2,10,8,2,0,1947,4,3865
"Near Vancouver, British Columbia, Canada",Trans Canada Air Lines,Lockheed 18 Loadstar,15,12,3,15,12,3,0,1947,4,3864
"Near Nicoya, Guanacaste, Costa Rica",TACA,Lockheed 18 Loadstar,11,9,2,11,9,2,0,1947,5,3863
"Delaware Bay, New Jersey",Trans Continental and Western Air,Lockheed L-049 Constellation,4,0,4,4,0,4,0,1947,5,3862
"Near Khabarovsk, Russia",Aeroflot,Douglas DC-47,22,17,5,22,17,5,0,1947,5,3861
"La Guardia Airport, Queens, New York",United Air Lines,Douglas C-54B,48,44,4,43,41,2,0,1947,5,3860
"Atsugi, Japan",Military - U.S. Army Air Forces,Douglas C-54D-DC (DC-4),40,33,7,40,33,7,0,1947,5,3859
"Hjedinsfjordur, Iceland",Flugefelag,Douglas DC-3,25,21,4,25,21,4,0,1947,5,3858
"Port Deposit, Maryland",Eastern Air Lines,Douglas C-54B-15-DO,53,49,4,53,49,4,0,1947,5,3857
"Near Gemenos, France",Air France,Junkers Ju-52,2,0,2,2,0,2,0,1947,6,3856
"Near Natal, Brazil",Flota Aérea Mercante Argentina,Avro 691 Lancastrian,18,13,5,5,3,2,0,1947,6,3855
"Leesburg, Virginia",Pennsylvania Central Airlines,Douglas DC-4 (C-54-DO),50,47,3,50,47,3,0,1947,6,3854
"Al Mayadin, Syria",Pan American World Airways,Lockheed 049-46-21 Constellation,36,27,9,14,7,7,0,1947,6,3853
"Black Sea, Gulf of Karkinitsky",Aeroflot,Li-2,29,25,4,8,6,2,0,1947,6,3852
"Near Eaeka, French Cameroons",Air France,Junkers JU-52/3m,13,10,3,13,10,3,0,1947,7,3851
"Melbourne, Florida",Burke Air Transport,Douglas DC-3,36,33,3,14,12,2,0,1947,7,3850
"Az-Zubair, Iran",British Overseas Airways,Avro 685 York,6,0,6,6,0,6,0,1947,7,3849
"Moron, Argentina",Flota Aérea Mercante Argentina,Avro 685 York I,6,0,6,2,0,2,2,1947,7,3848
"Near Yumen, China",Military - Chinese Air Force,Douglas C-47,26,22,4,26,22,4,0,1947,7,3847
"Andes, Argentina",British South American Airways,Avro 691 Lancastrian 3,11,6,5,11,6,5,0,1947,8,3846
North Pacific Ocean,Military - U.S. Navy,Consolidated PBY-5A Catalina,20,15,5,20,15,5,0,1947,8,3845
"New York, New York",American Airlines,Douglas DC-3C,5,3,2,3,1,2,0,1947,8,3844
"Malmo, Sweden",AB Aerotransport,Douglas DC-3F,5,0,5,1,0,1,0,1947,8,3843
"Bucharest, Romania",Transporturile Aeriene Romano-Sovietice,Lisunov Li-2,8,5,3,3,3,0,0,1947,8,3842
"Hanksville, Utah",Slick Airways,Curtiss C-46E,3,1,2,3,1,2,0,1947,8,3841
"Bahrain, Persian Gulf",British Overseas Airways,Short Sandringham 5 (flying boat),26,18,8,10,7,3,0,1947,8,3840
"Harsiad, Norway",Norwegian Airlines,Short Sandringham (flying boat),35,27,8,35,27,8,0,1947,8,3839
"Near El Paso, Texas",American Airlines,Douglas DC-4,54,49,5,0,0,0,0,1947,10,3838
"Ocean, 800 miles east of Newfoundland",American International Airways,Boeing 314A,69,62,7,0,0,0,0,1947,10,3837
"Off Cartegena, Spain",Societe Aerienne du Littoral,Bristol 170 Freighter I,43,39,4,41,38,4,0,1947,10,3836
"Sylva, North Carolina",Stratofreight,Douglas DC-3,3,1,2,3,1,2,0,1947,10,3835
"Bryce Canyon, Utah",United Air Lines,Douglas DC-6,53,48,5,53,48,5,0,1947,10,3834
"Near Mt. Hymettus, Greece",AB Aerotransport,Douglas DC-4-1009,44,36,8,44,36,8,0,1947,10,3833
"Annette Island, Alaska",Pan American World Airways,Douglas DC-4A,18,13,5,18,13,5,0,1947,10,3832
"Near Srinagar, India",Military - Royal Indian Air Force,Douglas C-47B,25,22,3,25,22,3,0,1947,10,3831
"Off Barrio Rizal, Philippines",Philippine Air Express,Douglas DC-3,5,3,2,5,3,2,0,1947,11,3830
"Near Bouchox, France",Société Auxiliare de Navigation Aérienne,Junkers Ju-52/3m,2,0,2,2,0,2,0,1947,11,3829
"Newcastle, Delaware",Trans Continental and Western Air,Lockheed L-049-46-26 Constellation,5,0,5,5,0,5,0,1947,11,3828
"Ravello, Italy",Trafik-Turist-Transportflyg,Bristol 170 Freighter XI,25,21,4,20,16,4,0,1947,11,3827
"Phouznicie, Romania",TARS,Lisunov Li-2,26,21,5,13,8,5,0,1947,11,3826
"Yakutat, Alaska",Columbia Air Cargo,Douglas DC-3C,13,11,2,13,11,2,0,1947,11,3825
"Montenegrin Mountains, Yugoslavia",JAT Yugoslav Airlines,Lisunov LI-2,22,19,3,22,19,3,0,1947,11,3824
"Near Trappa, Italy",Military - U.S. Air Force,Douglas C-47B,20,15,5,20,15,5,0,1947,11,3823
"Seattle, Washington",Alaska Airlines,Douglas C-54A,28,25,3,8,7,1,1,1947,11,3822
"Near Goose Bay, Labrador",Military - U.S. Air Force,Douglas C-54D-DC (DC-4),29,25,4,23,22,1,0,1947,12,3821
"Near Memphis, Tennessee",Military - U.S. Air Force,Douglas C-47-DK,20,16,4,20,16,4,0,1947,12,3820
"Krasnoyarsk, Russia",Aeroflot,Ilyushin IL-12,25,20,5,9,3,4,0,1947,12,3819
"Korangi Creek, India",Air India,Douglas DC-3 (C-47),23,19,4,23,19,4,0,1947,12,3818
"Leon, Mexico",Servicio Aéreo Panini,Douglas DC-2-172,10,7,3,5,3,2,3,1947,12,3817
"Paris, France",Air France,Douglas DC-3D,16,11,5,16,11,5,0,1948,1,3816
"Ruislip, England",British European Airways,Vickers 610 Viking 1B,18,14,4,1,0,1,0,1948,1,3815
"Near Savannah, Georgia",Coastal Air Lines,Douglas DC-3,27,25,2,18,17,1,0,1948,1,3814
"Near Palestro, Algeria",Transport Comp. Algerienne de T.A.,Douglas DC-3,9,7,2,9,7,2,0,1948,1,3813
"Ciudad Havajillo, Dominican Republic",Dominicana,Douglas DC-3,32,29,3,32,29,3,0,1948,1,3812
"Oxon Hill, Maryland",Eastern Air Lines,Douglas DC-3-201F,9,6,3,5,3,2,0,1948,1,3811
"Near Mukden, China",China National Aviation Corporation,Curtiss C-46,54,51,3,11,11,0,0,1948,1,3810
"Diablo Mts., California",Airline Transport Carriers,Douglas DC-3 (C-47B-DK),32,29,3,32,29,3,0,1948,1,3809
"Atlantic Ocean, NE of Bermuda",British South American Airways,Avro 688 Tudor I,31,25,6,31,25,6,0,1948,1,3808
"Off Jacksonville, Florida",Eastern Air Lines,Lockheed L-649 Constellation,69,63,6,1,0,1,0,1948,2,3807
"Near Padalarang, Indonesia",KLM Royal Dutch Airlines,Douglas DC-3,19,15,4,19,15,4,0,1948,2,3806
"Ubrichstein, Germany",Det Danske Luftfartselskab,Douglas DC-3,21,17,4,12,8,4,0,1948,2,3805
"Collesalvetti,  Italy",Società Aerea Teseo,Douglas C-47-DL,10,7,3,7,4,3,0,1948,2,3804
"Off St. Marcouf, France",Latecoere Airlines,Latecoere 631 (flying boat),14,7,7,14,7,7,0,1948,2,3803
"Davao, Philippines",Commercial Airways,Douglas DC-3,12,9,3,12,9,3,0,1948,2,3802
"Columbus, Ohio",Bruning Aviation,Douglas C-47A,2,0,2,2,0,2,0,1948,2,3801
"Near Belem, Brazil",Military - Brazilian Air Force,Douglas C-47,26,20,6,23,17,6,0,1948,2,3800
"Off Perpignan, France",Société de Transports Aériens,Junkers Ju-52/3m,4,0,4,4,0,4,0,1948,3,3799
"Heathrow Airport, London, England",Sabena,Douglas DC-3,22,19,3,20,17,3,0,1948,3,3798
"Near Skalafell, Iceland",Loftleidir Icelandic Airlines,Avro Anson,4,2,2,4,2,2,0,1948,3,3797
"Chicago, Illinois",Delta Air Lines,Douglas DC-4,13,9,4,12,8,4,0,1948,3,3796
"Mt. Sanford, Alaska",Northwest Orient Airlines,Douglas DC-4 (C-54G-1-DO),30,24,6,30,24,6,0,1948,3,3795
"Sierra Cristais, Brazil",Cruzeiro,Douglas DC-3,6,3,3,6,3,3,0,1948,3,3794
"Villa Pinzon, Colombia",Agencia Interamericana de Aviada,Douglas DC-3 (C47-DL),14,10,4,14,10,4,0,1948,3,3793
"Monte Cardo, Corsica, France",Indian National Airlines,Vickers 604 Viking 1B,19,15,4,19,15,4,0,1948,3,3792
"Near Berlin, Germany",British European Airways / Military - Soviet Air Force,Vickers Viking 1B & Soviet YAK-3 fighter,14,10,4,14,10,4,0,1948,4,3791
"Kano, Nigeria",Air France,Douglas DC-4,6,0,6,1,0,1,0,1948,4,3790
"Shannon, Ireland",Pan American World Airways,Lockheed L-049-46 Constellation,31,21,10,30,20,10,0,1948,4,3789
Territory of New Guinea,New Guinea Air Traders,Lockheed Hudson IIIA,37,33,4,37,33,4,0,1948,4,3788
Near Irkutsk Russia,Aeroflot,Lisnov Li-2,29,25,4,28,24,4,0,1948,4,3787
"Mount Coron, France",Skyways of London,de Havilland Dove 1,4,2,2,4,2,2,0,1948,5,3786
"Near Magazini, Belgian Congo (Zaire)",Sabena,Douglas DC-4-1009,32,25,7,31,24,7,0,1948,5,3785
"Vrede, South Africa",Mercury Aviation,Douglas DC-3-455,13,8,5,13,8,5,0,1948,5,3784
