Ruta,OperadOR,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,Año_colision,mes_colision,nuevo_id
"Bucharest, Romania",Campagnie France Roumaine,Blériot Spad 46,2,1,1,2,1,1,0,1923,8,4659
"Colton, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1923,9,4658
"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,de Havilland DH-34,5,3,2,5,3,2,0,1923,9,4657
Russia,CCCP,Junkers F-13,5,2,3,3,1,2,0,1923,11,4656
"Castalia, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1923,12,4655
"Egbert, WY",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1923,12,4654
"Grampian, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1924,3,4653
Over the English Channel,KLM Royal Dutch Airlines,Fokker F.III,3,2,1,3,2,1,0,1924,4,4652
"Barranquilla, Colombia",SCADTA,Junkers F-13,5,3,2,5,3,2,0,1924,6,4651
United States,US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1924,8,4650
"Cabrerolles, France",Grands Express Aeriens,Breguet 14,1,0,1,1,0,1,0,1924,11,4649
"Goshen, Indiana",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1924,12,4648
"Purley, England",Imperial Airways,de Havilland DH-34B,8,7,1,8,7,1,0,1924,12,4647
"Near Tiflis, Georgia, USSR",Zakavia,Junkers F-13,5,3,2,5,3,2,0,1925,3,4646
"Alicante, Spain",Grands Express Aeriens,Breguet 14,3,1,2,3,1,2,0,1925,4,4645
"Landrécies, France",KLM Royal Dutch Airlines,Fokker (KLM)  F.III,4,3,1,4,3,1,0,1925,6,4644
"Alicante, Spain",Grands Express Aeriens,Lioré-et-Olivier LeO H-13,2,0,2,2,0,2,0,1925,6,4643
"Rosas, Spain",Lignes Aeriennes Latecoere,Breguet 14,1,0,1,1,0,1,0,1925,7,4642
"Budapest, Hungary",CIDNA,Potez IX,1,0,1,1,0,1,0,1925,7,4641
"Caldwell, Ohio",Military - U.S. Navy,Dirigible ZR-1 Shenandoah (airship),43,0,43,14,0,14,0,1925,9,4640
"Mt. Nittany, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,1925,10,4639
"Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,Breguet 14,1,0,1,1,0,1,0,1925,11,4638
"Montpelier, Ohio",US Aerial Mail Service,Curtiss Carrier Pigeon,1,0,1,1,0,1,0,1926,2,4637
"Staaken, Germany",Deutche Lufthansa,Junkers F-13,1,0,1,1,0,1,0,1926,3,4636
English Channel,Air Union,Breguet 14,1,0,1,1,0,1,0,1926,5,4635
"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,Caudron C-61,6,4,2,6,4,2,0,1926,7,4634
"Wolvertem, Belgium",KLM Royal Dutch Airlines,Fokker F7,2,1,1,2,1,1,0,1926,7,4633
"Juist, Germany",Deutsche Lufthansa,Junkers F-13,5,4,1,5,4,1,0,1926,7,4632
"Hurst, Kent, England",Air Union,Bleriot 155,15,13,2,3,2,1,0,1926,8,4631
"Leigh, Kent, Unied Kingdom",Air Union,Bleriot 155,7,5,2,7,5,2,0,1926,10,4630
"Bueren, Germany",Deutsche Lufthansa,Fokker FG III,4,3,1,4,3,1,0,1926,10,4629
English Channel,Imperial Airways,Handley Page W-10,12,10,2,0,0,0,0,1926,10,4628
"Medford, Oregon",Pacific Air Transport,Ryan M-1,1,0,1,1,0,1,0,1926,12,4627
"Rabat, Morocco",Grands Express Aeriens,Breguet 14,1,0,1,1,0,1,0,1927,3,4626
"Tambo, Qld, Australia",Qantas,de Havilland DH-9C,3,2,1,3,2,1,0,1927,3,4625
"King Hill, Idaho",Varney Air Lines,"Swallow
Swallow",1,0,1,1,0,1,0,1927,4,4624
"Floh, Germany",Deutsche Lufthansa,Fokker FG III,2,1,1,2,1,1,0,1927,4,4623
"Goshen, Indiana",US Aerial Mail Service,Douglas M-4,1,0,1,1,0,1,0,1927,4,4622
"Algiers, Algeria",Air Union,SPCA Meteore 63,3,0,3,1,0,1,0,1927,5,4621
"Amoneburg, Germany",Deutsche Lufthansa,Junkers F-13,5,3,2,5,3,2,0,1927,7,4620
"Sevenoaks, England",KLM Royal Dutch Airlines,Fokker F-VIII,11,9,2,1,0,1,0,1927,8,4619
"Willington, Connecticut",Colonial Air Transport,Fokker Universal,1,0,1,1,0,1,0,1927,9,4618
"Hadley, New Jersey",Reynolds Airways,Fokker F-VII,12,11,1,7,6,1,0,1927,9,4617
Atlantic Ocean,Private,Fokker F7,3,1,2,3,1,2,0,1927,9,4616
"Schleiz, Germany",Deutsche Lufthansa,Dornier Merkur,6,4,2,6,4,2,0,1927,9,4615
"Thies, Mauritania",Lignes Aeriennes Latecoere,Breguet 14,2,0,2,2,0,2,0,1927,10,4614
"New Brunswick, New Jersey",Colonial Air Transport,Fairchild FC-2,4,3,1,4,3,1,0,1927,10,4613
"Strasburg, France",CIDNA,Farman F-121 Jabiru,1,0,1,1,0,1,0,1927,11,4612
Over the Gulf of Finland,Aero O-Y,Junkers F-13,6,4,2,6,4,2,0,1927,11,4611
